State   County  Year    UFOSightingCount   Population_Density   Housing_Density Urban_Rural
Tennessee  marshall  2008  1  81.5  34.9   Rural
Florida  lake  2002  4  316.6  154.5   Rural
New Jersey  hudson  2004  2  13731.4  5852.5   Urban
New York  clinton  2004  3  79.1  34.6   Rural
California  alameda  2001  12  2043.6  788.3   Urban
Massachusetts  worcester  2004  7  528.6  216.3   Rural
Montana  gallatin  2010  1  34.4  16.2   Rural
California  imperial  2007  1  41.8  13.4   Rural
Florida  sarasota  1996  1  570.3  319.2   Rural
Alabama  tuscaloosa  2005  1  147.3  64.2   Rural
New Jersey  middlesex  2008  5  2621.6  954.3   Urban
Georgia  cobb  1998  4  1786.7  698.3   Urban
Michigan  wexford  2002  1  57.9  29.6   Rural
Ohio  seneca  2000  1  106.6  43.0   Rural
Florida  marion  1999  3  164.0  77.7   Rural
Wyoming  uinta  2002  2  10.1  4.2   Rural
New York  new york  1995  6  66940.1  34756.7   Urban
Ohio  butler  2002  2  788.2  317.5   Rural
Rhode Island  newport  2001  2  809.6  408.2   Rural
Texas  denton  2000  2  487.3  189.2   Rural
Florida  brevard  2004  15  535.0  265.7   Rural
Wisconsin  dodge  2010  1  101.4  42.3   Rural
Pennsylvania  carbon  2008  1  171.1  89.9   Rural
Texas  liberty  2005  1  65.3  24.8   Rural
New York  delaware  2008  1  33.3  21.6   Rural
Georgia  bartow  2002  1  217.9  86.7   Rural
New Hampshire  merrimack  2003  2  156.8  68.0   Rural
New Hampshire  cheshire  2004  1  109.1  49.2   Rural
Missouri  dunklin  2008  1  59.1  26.6   Rural
Arkansas  crawford  2005  3  104.4  44.0   Rural
North Carolina  guilford  2009  7  756.4  337.6   Rural
Kentucky  madison  2003  1  189.6  80.1   Rural
New York  rensselaer  2005  2  244.4  109.6   Rural
New York  oswego  2008  2  128.3  56.3   Rural
Oklahoma  logan  2007  1  56.3  23.1   Rural
California  mono  2005  2  4.7  4.6   Rural
Kentucky  hopkins  2008  1  86.6  39.1   Rural
Michigan  antrim  2009  1  49.6  37.5   Rural
New York  dutchess  1999  2  349.5  132.4   Rural
Florida  broward  1992  1  1346.5  614.8   Urban
South Dakota  brookings  2009  1  40.3  16.6   Rural
Alaska  kenai peninsula  2005  2  3.4  1.9   Rural
California  madera  2000  2  57.6  18.9   Rural
Colorado  el paso  2008  6  292.6  118.9   Rural
North Carolina  hoke  2004  2  120.2  46.6   Rural
Oregon  columbia  1995  1  66.3  26.8   Rural
Michigan  lenawee  2010  1  133.3  58.0   Rural
Montana  sanders  2004  1  4.1  2.4   Rural
Florida  holmes  2007  1  41.6  18.0   Rural
Wisconsin  sheboygan  2000  4  219.3  89.5   Rural
Kansas  barton  2000  1  31.5  14.4   Rural
Utah  tooele  1998  1  5.9  2.0   Rural
Ohio  preble  1999  1  99.7  40.5   Rural
Massachusetts  bristol  2004  4  991.3  416.8   Rural
Indiana  allen  2010  2  540.6  231.5   Rural
Florida  clay  2000  2  234.3  89.4   Rural
Mississippi  marshall  2002  1  52.6  21.1   Rural
Colorado  ouray  2003  1  8.2  5.7   Rural
Pennsylvania  adams  2002  1  195.5  78.7   Rural
Florida  okaloosa  2002  3  194.4  99.3   Rural
Illinois  mchenry  2006  2  511.9  192.4   Rural
Kansas  wyandotte  2004  1  1039.0  440.3   Rural
Georgia  johnson  2000  1  28.1  11.9   Rural
Missouri  moniteau  2004  1  37.6  14.9   Rural
Oregon  union  2003  1  12.6  5.6   Rural
Nebraska  lancaster  1998  4  298.4  124.2   Rural
Michigan  saginaw  2005  1  250.2  108.5   Rural
Wisconsin  pierce  2002  1  71.5  28.1   Rural
California  san luis obispo  1999  3  74.7  31.0   Rural
Missouri  linn  1999  1  22.2  10.6   Rural
New York  herkimer  2005  1  45.7  23.6   Rural
Idaho  idaho  1998  1  1.8  0.9   Rural
Florida  pinellas  2007  7  3347.5  1839.4   Urban
Texas  harris  2009  8  2402.4  938.5   Urban
Colorado  mesa  2006  1  44.1  18.8   Rural
Georgia  cherokee  2008  3  508.3  195.3   Rural
North Carolina  watauga  2009  2  163.4  102.8   Rural
Arkansas  independence  2004  3  48.0  21.2   Rural
Ohio  clark  1999  2  362.0  152.7   Rural
California  mendocino  2005  3  25.1  11.5   Rural
Washington  okanogan  2008  2  7.8  4.2   Rural
South Dakota  lincoln  2010  2  77.7  31.0   Rural
Vermont  washington  2005  1  86.6  43.6   Rural
Kentucky  rowan  2008  4  83.4  36.1   Rural
Washington  clallam  2008  1  41.1  20.5   Rural
New Jersey  warren  2003  1  304.5  125.9   Rural
Maine  androscoggin  2004  3  230.2  104.9   Rural
Missouri  howell  1998  2  40.1  17.6   Rural
Arizona  maricopa  1995  22  333.8  135.8   Rural
North Carolina  perquimans  2003  1  54.4  28.3   Rural
Michigan  oceana  1998  1  49.7  27.8   Rural
Virginia  culpeper  2003  1  123.1  46.6   Rural
Ohio  pickaway  2005  2  111.1  42.4   Rural
Arkansas  newton  2008  1  10.1  5.7   Rural
West Virginia  hampshire  2009  1  37.4  21.4   Rural
Iowa  mahaska  2002  1  39.2  17.1   Rural
Michigan  kalamazoo  2007  4  445.7  195.9   Rural
California  solano  1997  2  475.8  162.2   Rural
Maryland  washington  2001  2  322.1  132.8   Rural
Colorado  douglas  1999  2  209.2  75.4   Rural
Colorado  teller  2000  2  36.9  18.6   Rural
Michigan  washtenaw  1999  2  454.8  184.6   Rural
Ohio  highland  2003  2  78.8  35.0   Rural
Texas  collin  1992  1  580.1  229.9   Rural
Arizona  coconino  1997  6  6.2  2.9   Rural
Maryland  frederick  2002  1  353.5  136.5   Rural
Iowa  polk  1993  1  657.9  274.8   Rural
Kentucky  bullitt  2010  2  250.2  98.7   Rural
Pennsylvania  lycoming  2007  3  94.5  42.7   Rural
Texas  williamson  2009  3  378.0  145.6   Rural
Ohio  jefferson  2000  2  180.4  81.3   Rural
Massachusetts  hampden  2002  4  751.0  311.4   Rural
Washington  douglas  1999  1  17.9  7.1   Rural
Hawaii  honolulu  1999  3  1460.8  526.9   Urban
Illinois  cook  2010  39  5495.1  2306.5   Urban
Illinois  lake  2002  7  1585.6  586.7   Urban
Michigan  eaton  2002  3  187.4  81.8   Rural
West Virginia  ritchie  2001  1  23.1  12.9   Rural
New Jersey  mercer  2000  2  1552.5  589.9   Urban
Nevada  washoe  1993  2  53.5  22.7   Rural
Missouri  callaway  2008  4  53.1  22.2   Rural
Indiana  harrison  2008  2  81.2  34.1   Rural
Tennessee  blount  1995  1  189.5  84.3   Rural
Ohio  williams  2008  1  89.4  39.6   Rural
California  tuolumne  1998  1  24.4  12.7   Rural
Texas  van zandt  2009  4  62.4  27.1   Rural
Nebraska  platte  1999  1  46.7  19.0   Rural
Tennessee  sullivan  1999  1  370.6  167.2   Rural
Tennessee  cumberland  2006  1  82.3  41.3   Rural
Illinois  will  2006  12  809.6  283.8   Rural
Maine  aroostook  2008  2  10.8  5.9   Rural
Washington  clark  2007  9  676.2  266.2   Rural
Wisconsin  door  2003  2  57.6  49.7   Rural
Arkansas  cleburne  2007  1  46.9  28.6   Rural
Ohio  logan  2007  1  100.0  50.6   Rural
Georgia  fulton  2000  1  1543.5  659.5   Urban
Tennessee  tipton  2005  1  133.3  50.6   Rural
Michigan  clare  2002  1  54.8  41.2   Rural
Florida  seminole  2010  1  1367.0  586.3   Urban
Indiana  hamilton  2004  16  696.4  270.8   Rural
Illinois  woodford  2006  1  73.3  28.7   Rural
West Virginia  marion  2002  1  182.7  85.7   Rural
Indiana  marion  2010  1  2279.6  1054.4   Urban
New York  clinton  1999  2  76.9  31.9   Rural
Montana  gallatin  2003  1  34.4  16.2   Rural
Massachusetts  worcester  1999  6  496.3  197.1   Rural
California  alameda  2008  26  2043.6  788.3   Urban
Wisconsin  waukesha  1991  1  649.4  252.5   Rural
Washington  grays harbor  1995  3  35.1  16.9   Rural
California  imperial  1998  1  34.1  10.5   Rural
Georgia  cobb  2007  8  2026.4  843.7   Urban
New Jersey  middlesex  1999  3  2422.1  883.5   Urban
Florida  marion  2000  1  164.0  77.7   Rural
Idaho  ada  1996  3  285.2  112.3   Rural
Wisconsin  dodge  2005  2  101.4  42.3   Rural
Minnesota  olmsted  2004  1  220.8  92.6   Rural
Mississippi  oktibbeha  2006  1  104.0  45.7   Rural
Alabama  mobile  1997  1  324.3  133.9   Rural
Pennsylvania  montgomery  2007  4  1655.9  674.3   Urban
Oklahoma  creek  2004  5  73.6  31.3   Rural
Texas  bowie  1991  1  100.6  41.1   Rural
Oregon  marion  2006  4  266.7  102.3   Rural
Indiana  franklin  2010  1  60.1  24.8   Rural
California  napa  2003  5  182.4  73.2   Rural
Alabama  montgomery  1994  3  283.0  120.8   Rural
New York  oswego  2007  2  128.3  56.3   Rural
Nevada  lyon  2010  1  26.0  11.3   Rural
New Jersey  atlantic  2010  5  494.1  227.9   Rural
Connecticut  new haven  2006  7  1426.7  598.8   Urban
Pennsylvania  westmoreland  2005  2  355.4  163.7   Rural
New York  jefferson  2000  2  87.8  42.5   Rural
Illinois  effingham  1995  1  71.6  29.2   Rural
California  sacramento  2002  11  1470.8  576.3   Urban
Kentucky  hopkins  2003  2  86.6  39.1   Rural
California  inyo  2004  3  1.8  0.9   Rural
Florida  broward  2007  8  1444.9  669.9   Urban
Kansas  riley  2007  1  116.6  46.3   Rural
Texas  hardin  2009  2  61.3  25.4   Rural
Texas  galveston  2004  5  769.9  350.2   Rural
Virginia  hanover  2006  2  213.1  81.9   Rural
Iowa  marion  1999  1  57.8  23.0   Rural
Ohio  lake  2001  1  1011.2  444.9   Rural
Missouri  franklin  2007  1  110.0  47.1   Rural
Florida  hillsborough  1999  9  950.6  405.3   Rural
New Mexico  catron  2000  1  0.5  0.4   Rural
Wisconsin  sheboygan  1999  1  219.3  89.5   Rural
Wyoming  park  2008  1  4.1  2.0   Rural
California  san mateo  2002  9  1602.2  604.4   Urban
Alaska  fairbanks north star  2002  1  13.3  5.7   Rural
Utah  tooele  2007  1  8.4  2.8   Rural
Michigan  montcalm  2000  1  86.5  36.6   Rural
Hawaii  hawaii  2006  1  45.9  20.4   Rural
Georgia  troup  2004  1  161.9  67.7   Rural
Oregon  josephine  2005  1  50.4  23.2   Rural
California  lake  1996  1  46.4  25.9   Rural
Alabama  cullman  2003  5  109.4  50.4   Rural
Utah  davis  1997  3  784.9  243.4   Rural
Maine  penobscot  1997  1  42.7  19.7   Rural
New Hampshire  carroll  2004  3  51.4  42.8   Rural
Washington  kittitas  2009  1  17.8  9.5   Rural
Nevada  douglas  2006  2  66.2  33.4   Rural
Idaho  canyon  1998  1  222.9  81.3   Rural
California  san bernardino  2002  21  101.5  34.9   Rural
Iowa  linn  2008  2  294.6  128.7   Rural
Florida  monroe  1996  1  79.8  51.8   Rural
Illinois  kendall  2005  1  358.2  125.9   Rural
Missouri  randolph  1996  1  51.1  22.3   Rural
Michigan  saginaw  1996  2  259.6  105.7   Rural
Wisconsin  pierce  2009  1  71.5  28.1   Rural
Pennsylvania  butler  2008  2  233.1  99.1   Rural
Ohio  gallia  2000  1  66.3  28.8   Rural
Colorado  jefferson  2000  2  682.6  275.2   Rural
California  sonoma  2004  12  307.1  129.8   Rural
Missouri  cooper  2001  1  31.2  13.2   Rural
South Carolina  york  1999  1  241.2  96.8   Rural
Kentucky  laurel  2003  1  135.6  58.6   Rural
Mississippi  pearl river  2008  3  68.9  29.6   Rural
Texas  bastrop  2004  1  83.5  33.0   Rural
Oregon  clackamas  2000  7  181.1  73.3   Rural
New Mexico  chaves  2004  3  10.8  4.4   Rural
Texas  val verde  2002  1  15.5  5.9   Rural
South Carolina  berkeley  2007  2  161.8  66.8   Rural
Wisconsin  racine  1999  2  566.9  224.3   Rural
Washington  spokane  2008  14  267.2  114.2   Rural
Michigan  livingston  2007  3  320.2  128.8   Rural
Arizona  santa cruz  2001  1  38.3  14.6   Rural
New York  chemung  1998  1  223.1  92.5   Rural
Georgia  coweta  2000  1  201.6  75.0   Rural
Iowa  marshall  2005  1  71.0  29.4   Rural
Maryland  baltimore  2002  9  1345.5  561.0   Urban
North Carolina  davidson  2005  2  294.7  131.5   Rural
Illinois  douglas  2001  1  48.0  20.1   Rural
Iowa  lee  2004  1  69.3  31.3   Rural
North Carolina  avery  2004  2  72.0  56.2   Rural
Missouri  jefferson  2007  2  333.1  133.4   Rural
Kentucky  wayne  1994  1  43.4  21.3   Rural
Florida  walton  1999  1  38.4  27.5   Rural
California  butte  1994  1  123.9  52.2   Rural
Mississippi  hinds  2001  3  282.0  118.9   Rural
Virginia  culpeper  2008  2  123.1  46.6   Rural
Texas  coryell  2001  1  71.7  23.9   Rural
California  yolo  1994  1  166.5  60.8   Rural
California  placer  1991  1  176.9  76.4   Rural
North Dakota  mclean  2009  1  4.2  2.6   Rural
Massachusetts  franklin  1997  1  101.9  45.5   Rural
North Dakota  ward  2009  1  30.6  13.3   Rural
New Mexico  taos  2010  1  15.0  9.2   Rural
North Carolina  harnett  2003  1  192.7  78.5   Rural
Idaho  bonneville  2008  1  55.9  21.3   Rural
Texas  comal  1995  2  139.0  58.3   Rural
Ohio  ashtabula  2005  2  144.6  65.7   Rural
North Carolina  union  2008  2  318.7  115.4   Rural
Georgia  oconee  1999  1  141.2  51.3   Rural
Kentucky  graves  2008  2  67.3  30.4   Rural
New Mexico  sandoval  2010  9  35.5  14.1   Rural
Mississippi  rankin  1999  3  148.9  58.2   Rural
Michigan  washtenaw  2006  7  488.4  209.0   Rural
North Carolina  macon  2002  1  65.8  49.0   Rural
Delaware  kent  2006  1  276.9  111.5   Rural
Florida  volusia  1999  4  401.9  192.1   Rural
Colorado  montezuma  2004  1  12.6  6.0   Rural
Oklahoma  tulsa  1999  1  987.7  427.8   Rural
California  stanislaus  2005  13  344.2  120.1   Rural
Texas  williamson  1998  2  222.6  80.4   Rural
Michigan  ingham  2009  1  505.1  218.1   Rural
Nevada  churchill  2004  1  5.0  2.2   Rural
Washington  douglas  2006  3  21.1  8.8   Rural
Idaho  bingham  2004  2  21.8  7.7   Rural
Illinois  cook  2005  111  5495.1  2306.5   Urban
North Carolina  wake  1993  1  754.7  311.3   Rural
Michigan  eaton  2009  3  187.4  81.8   Rural
North Dakota  ramsey  2000  1  10.2  4.8   Rural
Arkansas  sharp  2002  1  28.6  16.2   Rural
New Jersey  mercer  2009  4  1632.2  637.6   Urban
Missouri  henry  2008  1  32.0  15.6   Rural
California  mariposa  1998  1  11.8  6.1   Rural
Mississippi  neshoba  2009  1  52.1  21.7   Rural
Wyoming  sublette  2000  1  1.2  0.7   Rural
Pennsylvania  centre  2007  2  138.7  57.0   Rural
Arkansas  garland  2008  3  141.7  74.6   Rural
Ohio  williams  2003  3  89.4  39.6   Rural
Montana  phillips  2001  1  0.8  0.5   Rural
Missouri  callaway  2001  1  53.1  22.2   Rural
Georgia  clarke  2006  2  979.1  428.4   Rural
New York  nassau  2007  7  4704.8  1645.0   Urban
Georgia  columbia  2000  1  307.9  114.9   Rural
Michigan  jackson  1999  1  224.2  89.0   Rural
Kansas  morton  2000  1  4.8  2.1   Rural
Wyoming  sheridan  2002  1  11.5  5.5   Rural
Tennessee  marshall  1994  2  71.3  29.8   Rural
Illinois  woodford  1999  1  67.2  25.5   Rural
Kansas  shawnee  2004  4  327.1  145.5   Rural
Iowa  monona  2003  2  13.3  6.8   Rural
Arizona  la paz  2004  2  4.6  3.6   Rural
Georgia  cobb  2008  12  2026.4  843.7   Urban
California  colusa  2007  1  18.6  6.9   Rural
Florida  marion  2009  1  209.1  103.5   Rural
Idaho  ada  2003  8  372.8  151.5   Rural
Indiana  wayne  2010  1  171.5  77.8   Rural
Maryland  harford  1998  1  496.4  188.8   Rural
Ohio  jackson  2003  1  79.0  34.7   Rural
New Jersey  monmouth  2003  6  1344.7  551.2   Urban
Alabama  mobile  2006  1  335.9  144.9   Rural
Pennsylvania  allegheny  2007  8  1675.6  807.0   Urban
Washington  walla walla  2008  3  46.3  18.5   Rural
Pennsylvania  montgomery  2008  9  1655.9  674.3   Urban
Michigan  dickinson  2008  3  34.4  18.4   Rural
Texas  bowie  2000  1  100.6  41.1   Rural
Colorado  baca  2004  1  1.5  0.9   Rural
Iowa  jasper  2009  1  50.4  22.2   Rural
South Carolina  greenville  2005  4  574.7  249.0   Rural
Tennessee  sevier  1995  2  120.2  62.9   Rural
Pennsylvania  westmoreland  1998  1  360.8  157.1   Rural
New York  rockland  2005  2  1795.9  599.6   Urban
North Carolina  richmond  1999  1  98.2  42.0   Rural
Colorado  rio grande  2001  2  13.1  7.3   Rural
Michigan  emmet  2009  1  69.9  45.6   Rural
Iowa  webster  2005  2  53.1  23.8   Rural
Tennessee  putnam  2007  2  180.3  79.5   Rural
West Virginia  gilmer  2008  1  25.7  10.2   Rural
California  kern  2003  8  103.3  35.0   Rural
Massachusetts  berkshire  2004  1  141.6  73.9   Rural
Georgia  franklin  2007  1  84.5  40.4   Rural
New Jersey  union  2002  3  5216.1  1939.5   Urban
Tennessee  hamilton  2005  1  620.3  278.6   Rural
Minnesota  goodhue  2009  1  61.0  26.9   Rural
Kansas  greenwood  1998  1  6.7  3.7   Rural
New Hampshire  belknap  2008  2  150.1  93.4   Rural
Ohio  lake  2010  1  1011.2  444.9   Rural
Minnesota  winona  2005  2  82.2  33.2   Rural
Virginia  spotsylvania  2005  2  304.9  112.5   Rural
Tennessee  shelby  1999  4  1189.4  481.0   Rural
Virginia  smyth  1995  1  73.2  33.4   Rural
Wyoming  park  2001  1  4.1  2.0   Rural
North Carolina  craven  2004  2  146.0  63.5   Rural
Iowa  cass  2000  1  26.0  11.7   Rural
Wisconsin  brown  2000  1  429.0  170.6   Rural
Idaho  blaine  1999  1  7.2  4.6   Rural
Hawaii  hawaii  2009  1  45.9  20.4   Rural
Virginia  mecklenburg  2009  2  52.3  29.7   Rural
California  lake  2007  3  51.5  28.2   Rural
New York  orleans  2010  1  109.6  47.1   Rural
Virginia  loudoun  2009  5  605.8  212.3   Rural
Maine  penobscot  2004  3  45.3  21.7   Rural
Texas  stonewall  2009  1  1.6  1.0   Rural
Washington  kittitas  2000  5  14.5  7.2   Rural
North Carolina  wilkes  2005  1  91.9  43.8   Rural
Florida  monroe  2007  2  74.3  53.7   Rural
California  ventura  1997  4  408.2  136.4   Rural
Colorado  dolores  2002  1  1.9  1.4   Rural
South Dakota  mccook  1998  1  10.2  4.1   Rural
Iowa  black hawk  2007  5  231.7  98.8   Rural
Tennessee  hamblen  2009  1  388.0  167.3   Rural
Colorado  larimer  1995  1  96.7  40.5   Rural
Illinois  logan  2007  1  49.0  19.6   Rural
North Carolina  cabarrus  2003  3  492.1  198.9   Rural
Pennsylvania  butler  2003  1  233.1  99.1   Rural
Texas  houston  2009  1  19.3  9.4   Rural
Minnesota  kandiyohi  2003  1  53.0  24.4   Rural
Minnesota  chisago  2006  2  129.9  51.0   Rural
Missouri  texas  2007  3  22.1  9.9   Rural
Wisconsin  portage  2009  1  87.4  37.5   Rural
New Jersey  hunterdon  2002  1  300.0  115.7   Rural
Illinois  tazewell  2008  2  208.6  88.6   Rural
New York  putnam  2009  1  432.9  166.0   Rural
South Carolina  berkeley  1996  3  130.0  49.8   Rural
Washington  spokane  2001  7  267.2  114.2   Rural
Ohio  summit  1999  1  1315.4  559.4   Urban
West Virginia  monongalia  2004  4  267.1  120.1   Rural
New York  tompkins  2001  1  214.0  87.8   Rural
Vermont  washington  1995  1  84.2  40.1   Rural
Missouri  crawford  1997  1  30.7  14.6   Rural
Minnesota  yellow medicine  2009  1  13.8  6.3   Rural
Texas  montgomery  2004  3  437.5  170.5   Rural
California  butte  2003  6  134.4  58.6   Rural
New Hampshire  strafford  2008  2  333.7  140.1   Rural
Oregon  klamath  2008  3  11.2  5.5   Rural
West Virginia  wayne  1996  1  84.8  37.8   Rural
New York  madison  2009  3  112.2  48.5   Rural
Missouri  carroll  1999  1  14.8  7.0   Rural
Minnesota  hennepin  2005  12  2081.7  920.3   Urban
Kentucky  fayette  2008  4  1042.8  476.5   Rural
Arizona  maricopa  2009  82  414.9  178.2   Rural
Missouri  greene  2000  5  356.1  154.8   Rural
Nebraska  lincoln  2004  2  14.2  6.5   Rural
Virginia  southampton  2002  1  31.0  12.5   Rural
Ohio  holmes  2001  1  100.3  32.3   Rural
New Jersey  burlington  2005  2  561.9  219.9   Rural
California  placer  1998  4  176.9  76.4   Rural
Oklahoma  garfield  1992  1  54.6  24.6   Rural
Texas  la salle  2008  2  4.6  1.8   Rural
Texas  comal  2002  10  193.9  84.2   Rural
Illinois  clinton  1999  1  74.9  29.1   Rural
Alabama  madison  1998  3  343.8  149.4   Rural
New Mexico  sandoval  2003  14  35.5  14.1   Rural
Alabama  jefferson  1993  1  595.0  259.0   Rural
New York  suffolk  1999  8  1556.0  572.6   Urban
Oklahoma  delaware  2010  1  56.2  33.6   Rural
Florida  volusia  2008  7  449.2  230.9   Rural
Arizona  pinal  2000  3  33.5  15.1   Rural
Arizona  coconino  2003  9  7.2  3.4   Rural
